episode,avg_detect_streak,avg_lost_streak,lock_count,lock_time_ratio,target_covered_ratio
1,0.580000,3.392000,5,0.166000,0.235000
2,0.518000,3.214000,6,0.166000,0.205000
3,0.164000,0.704000,1,0.046000,0.075000
4,0.884000,3.082000,5,0.172000,0.220000
5,0.514000,2.210000,6,0.158000,0.210000
6,0.152000,1.520000,2,0.046000,0.065000
7,0.120000,0.804000,3,0.058000,0.095000
8,0.294000,1.154000,2,0.072000,0.130000
9,0.058000,1.570000,2,0.032000,0.040000
10,0.464000,0.832000,2,0.098000,0.200000
11,0.108000,0.848000,4,0.076000,0.110000
12,0.056000,1.104000,3,0.048000,0.060000
13,0.144000,1.934000,3,0.074000,0.115000
14,0.122000,1.472000,2,0.050000,0.080000
15,0.042000,0.812000,1,0.026000,0.040000
16,0.056000,1.548000,3,0.058000,0.070000
17,0.450000,1.088000,6,0.154000,0.295000
18,0.178000,1.286000,2,0.070000,0.120000
19,0.026000,0.822000,1,0.022000,0.030000
20,0.178000,1.458000,4,0.082000,0.130000
21,0.146000,1.550000,2,0.048000,0.080000
22,0.244000,1.042000,4,0.086000,0.150000
23,0.160000,2.640000,4,0.074000,0.105000
24,0.122000,1.604000,3,0.058000,0.095000
25,0.176000,1.962000,4,0.076000,0.125000
26,0.224000,1.710000,3,0.070000,0.115000
27,0.174000,1.556000,3,0.070000,0.105000
28,0.042000,0.860000,1,0.020000,0.030000
29,0.284000,1.020000,3,0.060000,0.110000
30,0.092000,1.120000,2,0.040000,0.060000
31,0.030000,0.870000,1,0.018000,0.025000
32,0.026000,0.112000,1,0.022000,0.030000
33,0.006000,0.000000,1,0.004000,0.010000
34,0.122000,0.532000,2,0.046000,0.070000
35,0.000000,0.000000,0,0.000000,0.000000
36,0.000000,0.000000,0,0.000000,0.000000
37,0.020000,0.230000,1,0.016000,0.020000
38,0.092000,0.382000,1,0.030000,0.050000
39,0.088000,0.584000,2,0.052000,0.080000
40,0.138000,0.160000,3,0.058000,0.105000
41,0.000000,0.000000,0,0.000000,0.000000
42,0.000000,0.000000,0,0.000000,0.000000
43,0.030000,0.680000,1,0.018000,0.025000
44,0.042000,0.160000,1,0.020000,0.030000
45,0.092000,0.180000,2,0.036000,0.050000
46,0.066000,0.902000,2,0.042000,0.060000
47,0.050000,0.820000,2,0.026000,0.045000
48,0.162000,0.944000,3,0.080000,0.130000
49,0.130000,0.960000,3,0.066000,0.105000
50,0.090000,0.426000,2,0.046000,0.080000
51,0.360000,1.428000,3,0.110000,0.195000
52,0.162000,1.200000,2,0.064000,0.100000
53,0.218000,1.206000,2,0.074000,0.130000
54,0.164000,0.412000,2,0.054000,0.090000
55,0.072000,0.240000,1,0.024000,0.040000
56,0.122000,0.636000,2,0.062000,0.100000
57,0.372000,1.236000,3,0.088000,0.150000
58,0.002000,0.840000,1,0.010000,0.005000
59,0.146000,1.400000,3,0.058000,0.085000
60,0.144000,0.872000,4,0.070000,0.110000
61,0.614000,1.714000,5,0.136000,0.240000
62,0.286000,1.800000,4,0.116000,0.190000
63,0.000000,0.000000,0,0.000000,0.000000
64,0.676000,0.628000,3,0.204000,0.320000
65,0.518000,1.344000,6,0.200000,0.295000
66,0.158000,0.928000,2,0.072000,0.120000
